Exam,Year,Institute,Branch,State,Quota,Category,Gender,Round,OpeningRank,ClosingRank,Fees,NirfRank,MedianPackage,HighestPackage,AveragePackage,Seats,Website
NEET,2025,AIIMS Delhi,MBBS,Delhi,General,OPEN,Unreserved,1,1,50,0,1,"0","N/A","N/A","N/A",70,https://aiims.edu
NEET,2025,Christian Medical College,MBBS,Tamil Nadu,General,OPEN,Unreserved,1,1,60,51,400,0,"NIRF 25","N/A","N/A","N/A",90,https://www.cmch-vellore.edu
NEET,2025,Shimla Medical College,MBBS,Himachal Pradesh,General,OPEN,Unreserved,1,1,80,401,900,0,"N/A","N/A","N/A","N/A",60,https://shimlamed.ac.in
NEET,2025,PGIMER Chandigarh,MBBS,Chandigarh,General,OPEN,Unreserved,1,1,100,901,1500,0,"N/A","N/A","N/A","N/A",50,https://pgimer.edu.in
NEET,2025,King George's Medical University,MBBS,Uttar Pradesh,General,OPEN,Unreserved,1,1,120,1501,2600,0,"N/A","N/A","N/A","N/A",150,https://www.kgmu.org
NEET,2025,JIPMER Puducherry,MBBS,Puducherry,General,OPEN,Unreserved,1,1,130,2601,3000,0,"N/A","N/A","N/A","N/A",100,https://jipmer.edu.in
NEET,2025,MAMC Delhi,MBBS,Delhi,General,OPEN,Unreserved,1,1,150,3001,3500,0,"N/A","N/A","N/A","N/A",80,https://mamc.ac.in
NEET,2025,AFMC Pune,MBBS,Maharashtra,General,OPEN,Unreserved,1,1,170,3501,4000,0,"N/A","N/A","N/A","N/A",70,https://afmc.nic.in
NEET,2025,Maulana Azad Medical College,MBBS,Delhi,General,OPEN,Unreserved,1,1,200,4001,4500,0,"N/A","N/A","N/A","N/A",120,https://mamc.ac.in
NEET,2025,Lady Hardinge Medical College,MBBS,Delhi,General,OPEN,Unreserved,1,1,220,4501,5000,0,"N/A","N/A","N/A","N/A",90,https://lhmc-hosp.gov.in
NEET,2025,Grant Medical College,MBBS,Maharashtra,General,OPEN,Unreserved,1,1,250,5001,5500,0,"N/A","N/A","N/A","N/A",110,https://grantmedicalcollege.edu.in
NEET,2025,Seth GS Medical College,MBBS,Maharashtra,General,OPEN,Unreserved,1,1,280,5501,6000,0,"N/A","N/A","N/A","N/A",100,https://sethgsmc.edu.in
NEET,2025,Osmania Medical College,MBBS,Telangana,General,OPEN,Unreserved,1,1,300,6001,6500,0,"N/A","N/A","N/A","N/A",130,https://osmaniamedicalcollege.ac.in
NEET,2025,Madras Medical College,MBBS,Tamil Nadu,General,OPEN,Unreserved,1,1,320,6501,7000,0,"N/A","N/A","N/A","N/A",140,https://mmc.ac.in
NEET,2025,Government Medical College,MBBS,Kerala,General,OPEN,Unreserved,1,1,350,7001,7500,0,"N/A","N/A","N/A","N/A",150,https://gmckerala.org
NEET,2025,Government Medical College Thiruvananthapuram,MBBS,Kerala,General,OPEN,Unreserved,1,1,370,7501,8000,0,"N/A","N/A","N/A","N/A",160,https://gmctvm.org
